state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share,result,phone-number,email-address
Bihar,Buxar,Jagadanand Singh,GENERAL,RJD,355444,36.01,2nd place,Not Found,Not Found
Bihar,Buxar,Sushil Kumar Singh,GENERAL,BSP,80261,8.13,3rd place,Not Found,Not Found
Bihar,Sasaram (SC),CHHEDI PASWAN,SC,BJP,494800,50.72,Winner,Not Found,Not Found
Bihar,Sasaram (SC),MEIRA KUMAR,SC,INC,329055,33.73,2nd place,Not Found,Not Found
Bihar,Sasaram (SC),MANOJ KUMAR,SC,BSP,86406,8.86,3rd place,Not Found,Not Found
Bihar,Karakat,MAHABALI SINGH,GENERAL,JD(U),398408,45.82,Winner,Not Found,Not Found
Bihar,Karakat,UPENDRA KUSHWAHA,GENERAL,BLSP,313866,36.1,2nd place,Not Found,Not Found
Bihar,Karakat,RAJA RAM SINGH,GENERAL,CPI(ML)(L),24932,2.87,3rd place,Not Found,Not Found
Bihar,Jahanabad,CHANDESHWAR PRASAD,GENERAL,JD(U),335584,40.81,Winner,Not Found,Not Found
Bihar,Jahanabad,SURENDRA PRASAD YADAV,GENERAL,RJD,333833,40.6,2nd place,Not Found,Not Found
Bihar,Jahanabad,ARUN KUMAR,GENERAL,RSPSR,34558,4.2,3rd place,Not Found,Not Found
Bihar,Aurangabad,SUSHIL KUMAR SINGH,GENERAL,BJP,427721,45.72,Winner,Not Found,Not Found
Bihar,Aurangabad,UPENDRA PRASAD,GENERAL,HAMS,357169,38.18,2nd place,Not Found,Not Found
Maharashtra,Aurangabad,Imtiaz Jaleel Syed,GENERAL,AIMIM,389042,32.45,3rd place,Not Found,Not Found
Bihar,Gaya (SC),Vijay Kumar,SC,JD(U),467007,48.77,Winner,Not Found,Not Found
Bihar,Gaya (SC),Jitan Ram Manjhi,SC,HAMS,314581,32.85,2nd place,Not Found,Not Found
Bihar,Gaya (SC),NOTA,,NOTA,30030,3.14,3rd place,NA,NA
